,month,day,week,airline,dest,dep_del,sch_elp,dist,sch_dep,act_dep,sch_arr,temp,dew,hum,wind,w_spd,gust,pres,cond,bef_dep1,aft_dep1,bef_arr1,aft_arr1
13044,12,12,4,4,20,-1,200,1069,1180,1179,1380,31,20,64,0,0,0,30.69,16,15,11,7,12
7718,11,24,7,1,28,-3,378,2475,660,657,858,47,47,10,7,17,0,29.22,12,5,12,1,5
25458,1,21,2,0,22,-10,95,228,1230,1220,1325,31,7,37,7,13,0,30.46,16,9,9,5,7
13983,12,15,7,4,58,21,233,1598,1146,1167,1439,41,24,51,15,17,26,30.07,3,8,20,7,7
27995,1,29,3,8,24,-14,143,665,930,916,1073,40,15,36,4,15,24,30.06,3,19,12,8,12
17787,12,28,6,3,59,-6,330,1990,454,448,664,44,44,10,15,8,0,30.21,18,13,14,6,11
22353,1,11,6,3,47,31,112,427,1013,1044,1125,51,50,96,9,21,0,30.09,17,5,2,2,8
15385,12,20,5,4,33,-4,216,1182,965,961,1121,32,16,52,7,9,0,30.58,3,11,9,6,12
21620,1,9,4,1,42,-4,355,2153,805,801,1040,33,7,34,4,8,0,30.72,16,10,12,3,7
15896,12,22,7,4,57,15,403,2569,485,500,708,33,25,72,17,10,0,30.38,3,20,12,4,11
2224,11,7,4,3,7,-3,83,301,1375,1372,18,43,40,89,7,17,0,30.01,0,3,2,4,5
19875,1,3,5,0,6,-13,108,266,1280,1267,1388,47,47,10,15,9,0,29.84,0,8,11,4,9
4288,11,14,4,4,23,10,253,1417,480,490,673,35,20,54,4,5,0,30.46,16,22,16,4,10
27589,1,28,2,2,28,-10,401,2475,690,680,911,44,28,53,8,20,0,29.81,16,8,13,0,4
16123,12,22,7,4,15,3,106,213,1200,1203,1306,40,32,73,17,14,0,30.23,3,8,8,6,15
23946,1,16,4,0,15,9,105,213,938,947,1043,42,30,62,8,23,35,29.95,19,13,13,6,9
14798,12,18,3,4,32,-3,200,1029,679,676,819,38,26,62,15,18,0,29.83,18,5,16,4,4
13733,12,15,7,3,33,-11,204,1182,387,376,531,43,33,68,15,17,29,29.65,16,7,7,2,5
8210,11,25,1,3,16,-4,275,1626,1214,1210,1369,45,44,97,9,5,0,29.91,3,10,7,8,15
21584,1,9,4,3,20,-2,198,1069,680,678,878,31,7,37,4,10,0,30.74,18,10,13,2,4
12290,12,10,2,3,28,-8,376,2475,569,561,765,55,55,10,13,7,0,29.83,0,10,8,1,1
16247,12,23,1,0,9,-4,83,184,550,546,633,42,35,76,13,10,0,30.16,3,10,13,7,2
286,11,1,5,3,56,-7,390,2586,1309,1302,79,47,30,52,7,15,0,30.23,3,14,4,3,5
26503,1,24,5,3,38,-8,57,150,1370,1362,1427,39,32,76,2,10,0,30.28,18,4,4,5,3
