month,day,week,airline,ori,dep_del,taxi,sch_elp,dist,sch_dep_m,act_dep_m,wh_off,sch_arr_m,wh_on,temp,dew,hum,wind,w_spd,gust,pres,sch_dep,sch_arr
12,7,6,7,59,51,34,129,651,1020,1071,1105,1089,1132,60,54,80,17,9,0,29.9,19,32
12,6,5,7,35,3,21,98,414,817,820,841,915,910,61,49,64,11,17,28,29.93,24,35
11,6,3,7,35,-12,42,98,414,656,644,686,754,734,60,49,67,16,16,0,29.99,36,41
12,11,3,1,57,-8,19,114,550,985,977,996,1099,1083,58,54,87,6,5,0,30.16,23,37
11,4,1,7,74,-8,22,101,372,415,407,429,516,500,60,50,69,0,0,0,30.01,49,30
1,15,3,7,23,-2,16,388,2565,1080,1078,1094,1288,1278,49,38,66,0,0,0,29.93,18,39
12,27,5,6,62,-9,17,90,421,380,371,388,470,453,43,37,80,0,0,0,30.07,31,24
12,20,5,6,56,-7,30,126,710,360,353,383,486,471,50,49,96,2,3,0,30.24,30,25
12,11,3,3,33,-3,47,412,2586,685,682,729,917,906,58,53,84,6,5,0,30.17,23,33
12,6,5,7,54,72,45,291,1846,1185,1257,1302,1356,1420,55,53,93,3,13,0,29.95,22,20
11,27,3,6,67,244,29,100,447,580,824,853,680,916,48,38,68,17,8,0,29.51,24,33
12,1,7,6,70,99,28,72,190,710,809,837,782,873,59,51,75,10,12,23,29.84,29,34
11,25,1,7,18,11,31,162,967,1220,1231,1262,1322,1325,53,39,59,15,14,0,30.08,33,27
11,30,6,2,33,-5,25,397,2586,562,557,582,779,766,50,44,80,3,22,31,29.92,37,36
1,4,6,7,62,-2,34,101,421,850,848,882,951,941,55,45,69,16,10,0,30.38,20,29
11,28,4,7,29,-3,15,364,2419,390,387,402,574,563,47,39,74,5,13,0,29.62,37,48
12,1,7,7,78,0,17,355,2393,1135,1135,1152,1310,1302,58,51,78,10,21,0,29.91,22,45
12,1,7,2,8,868,16,414,2704,1085,513,529,1319,739,56,52,87,6,9,0,30.03,37,41
12,24,2,6,1,25,19,77,250,1213,1238,1257,1290,1307,49,43,80,9,7,0,29.88,17,45
12,8,7,0,58,47,21,382,2521,489,536,557,691,730,59,52,78,14,3,0,30.01,32,38
12,5,4,2,25,32,43,389,2584,1155,1187,1230,1364,1388,57,51,81,0,0,0,30.02,21,19
11,15,5,1,36,-11,53,92,337,390,379,432,482,463,58,50,75,0,0,0,30.19,25,26
11,27,3,6,7,21,35,120,522,1020,1041,1076,1080,1093,47,37,68,9,6,0,29.51,21,36
12,4,3,1,57,32,26,112,550,615,647,673,727,751,55,51,86,6,3,0,29.81,38,39
12,20,5,6,56,0,10,126,710,1154,1154,1164,1280,1272,52,48,86,0,0,0,30.12,20,43
11,8,5,7,54,-1,44,285,1846,608,607,651,773,764,61,49,64,16,17,0,30.15,37,41
12,3,2,7,8,202,84,403,2704,362,564,648,585,779,60,51,72,2,5,0,29.98,33,39
12,7,6,0,43,45,12,384,2585,1235,1280,1292,1439,36,53,50,89,0,0,0,30.11,7,3
12,21,6,6,73,-7,15,65,86,652,645,660,717,702,60,43,53,7,3,0,29.96,34,37
1,12,7,6,16,1,21,260,1476,880,881,902,1020,1013,53,42,66,15,14,0,30.15,37,33
1,13,1,6,45,-5,15,50,77,418,413,428,468,455,47,43,86,13,3,0,30.19,27,26
1,13,1,7,23,-13,16,395,2565,660,647,663,875,854,55,44,67,17,6,0,30.18,32,31
1,14,2,7,29,-2,17,373,2419,755,753,770,948,938,53,41,64,15,16,0,30.2,22,28
1,16,4,0,58,-2,22,393,2521,495,493,515,708,698,47,42,83,3,18,0,29.79,33,42
1,7,2,1,35,-12,21,100,414,595,583,604,695,675,53,44,71,5,7,0,30.18,30,43
1,14,2,7,59,-9,13,127,651,368,359,372,435,418,51,40,66,8,7,0,30.22,19,6
12,13,5,3,47,17,48,259,1589,706,723,771,845,854,60,52,75,10,13,0,30.08,30,32
12,21,6,7,71,-8,18,133,679,1168,1160,1178,1301,1285,55,42,62,3,7,0,29.81,24,41
12,12,4,3,71,-4,112,130,679,910,906,1018,1040,1028,61,57,87,14,3,0,30.26,24,25
1,7,2,0,13,26,41,352,2296,680,706,747,852,870,55,45,69,16,18,26,30.12,28,33
