,TAXI_OUT
22246,12
6530,13
15181,13
17928,15
1391,23
1563,16
26256,26
26197,21
4033,16
21168,19
12444,11
15578,14
2212,27
1858,18
4456,20
28556,15
4990,12
6474,14
17874,13
25000,18
6603,18
16048,18
13138,22
27178,25
15672,21
24840,15
1060,23
1541,16
25485,25
19644,29
9211,20
5975,28
20865,12
13355,19
22683,25
11707,22
11938,16
23755,21
20772,14
18334,18
5197,19
8967,21
11146,16
2454,18
10493,23
24333,15
19258,14
16396,15
23565,15
12881,21
6113,16
5724,18
1524,9
25727,15
6151,16
11414,24
27161,16
6833,20
1054,17
941,21
27747,21
20108,27
9511,24
9870,30
9266,15
20818,13
21934,11
8105,14
24880,18
14481,26
3324,15
3431,15
7744,21
6661,29
28750,14
12877,19
6155,34
26903,12
15327,11
23548,15
12884,24
8692,28
28624,16
4576,17
20646,11
15153,37
11174,14
4886,23
1537,17
10225,18
11171,22
26255,28
3079,20
5955,32
2917,36
21797,21
4993,16
7980,23
2162,34
4751,14
24773,22
20265,30
9285,19
19199,28
28176,12
27385,28
3762,17
8809,31
20732,19
13585,25
7329,22
276,19
21583,18
22196,14
11084,13
9643,18
18567,32
17932,16
11311,30
4054,17
19847,25
25678,26
11613,15
7534,13
22210,21
4996,13
52,21
8579,31
27148,35
2740,19
5103,27
3323,22
13620,34
2397,30
8393,29
12894,29
12255,18
554,21
14936,19
15103,14
23131,14
26994,17
5053,17
22680,16
14340,31
12821,26
24146,26
15890,19
10792,14
28724,21
13423,18
10470,21
9142,18
15083,20
2037,15
16797,13
10262,31
2220,31
20524,19
23386,23
11821,16
23311,16
14873,39
897,14
13490,21
19984,31
4229,20
9571,22
13569,17
10020,16
15804,18
6424,13
26979,27
27174,11
1968,30
28126,9
5428,10
27671,12
24182,20
5918,18
1056,18
9174,15
14948,31
18323,12
16978,14
27971,19
76,23
3123,13
12784,18
13450,16
18768,16
24471,18
11775,29
12080,17
3209,17
13574,20
21332,22
19598,25
12518,21
7896,26
28111,19
9544,35
24851,20
20110,23
28318,24
8319,24
22783,23
7733,15
2116,19
14520,20
13478,23
12583,28
12717,17
5048,19
24404,16
