MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,DEP_DELAY,TAXI_OUT,CRS_ELAPSED_TIME,DISTANCE,CRS_DEP_M,DEP_TIME_M,WHEELS_OFF_M,CRS_ARR_M,Pred_Wheels_On,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Condition,sch_dep,sch_arr
1,8,3,UA,LAS,-2,17,106,414,1110,1108,1125,1216,1206,54,43,66,WNW,9,0,30.1,Cloudy,31,41
12,29,7,OO,SMF,29,18,65,86,652,681,699,717,738,56,49,77,SSE,9,0,30.05,Cloudy,37,37
11,20,3,OO,DFW,5,19,255,1464,1175,1180,1199,1310,1307,56,35,45,W,9,0,29.6,Fair,22,46
1,3,5,UA,STL,-10,11,282,1735,1153,1143,1154,1315,1297,56,46,69,SE,13,0,30.24,Fair,21,44
11,13,3,B6,JFK,-9,16,397,2586,562,553,569,779,762,58,49,72,WNW,12,0,29.96,Cloudy,36,40
12,19,4,OO,SBA,884,8,82,262,620,64,72,702,138,50,48,93,S,5,0,30.23,Cloudy,2,0
11,8,5,B6,JFK,3,21,409,2586,1180,1183,1204,1409,1404,52,48,86,WNW,12,0,30.17,Fair,29,22
11,2,6,UA,SNA,-6,16,90,372,990,984,1000,1080,1066,70,38,31,CALM,0,0,30.01,Partly Cloudy,19,23
12,31,2,UA,LAS,35,12,105,414,927,962,974,1032,1059,55,44,67,NW,3,0,30.11,Mostly Cloudy,19,26
12,18,3,DL,SLC,68,21,121,599,900,968,989,961,1021,55,50,83,S,6,0,30.0,Mostly Cloudy,21,26
12,26,4,UA,ORD,6,28,294,1846,1216,1222,1250,1390,1388,48,39,71,WNW,8,0,30.0,Fair,32,21
12,25,3,UA,TPA,-1,11,363,2393,367,366,377,550,541,48,43,83,SSE,6,0,29.84,Cloudy,34,48
1,22,3,UA,SLC,-10,9,143,599,1227,1217,1226,1310,1292,55,46,72,NNW,3,0,30.24,Fair,18,39
12,13,5,UA,SAN,-6,32,102,447,610,604,636,712,698,55,52,89,WNW,10,0,30.21,Cloudy,35,42
1,11,6,WN,BUR,-4,13,90,326,560,556,569,650,638,56,45,67,WNW,17,0,30.29,Fair,39,16
12,13,5,DL,MSP,3,14,265,1589,924,927,941,1069,1064,58,53,84,W,7,0,30.11,Cloudy,24,25
12,30,1,UA,DEN,3,19,170,967,1354,1357,1376,24,19,48,43,83,CALM,0,0,30.11,Fair,10,9
12,22,7,UA,LAX,62,51,96,337,1155,1217,1268,1251,1305,49,44,83,NW,6,0,29.88,Fair,22,43
12,23,1,OO,BOI,-7,10,122,522,1166,1159,1169,1228,1213,50,43,77,WSW,10,0,29.86,Fair,28,41
1,4,6,OO,EUG,39,28,105,451,631,670,698,736,767,55,47,74,N,5,0,30.39,Mostly Cloudy,34,36
1,5,7,AS,LAS,-6,18,100,414,700,694,712,800,786,59,44,58,W,15,0,30.52,Fair,40,29
11,16,6,OO,FAT,-8,17,65,158,1075,1067,1084,1140,1124,58,51,78,W,13,0,30.08,Mostly Cloudy,21,32
11,2,6,UA,IAD,43,17,348,2419,495,538,555,663,698,65,39,39,NNE,3,0,30.09,Fair,33,46
12,7,6,UA,SEA,106,26,133,679,798,904,930,931,1029,62,55,78,SSW,25,40,29.88,Light Rain / Windy,20,21
11,12,2,AA,CLT,-4,14,349,2296,460,456,470,629,617,61,51,70,CALM,0,0,30.08,Mostly Cloudy,44,23
12,19,4,WN,LAX,-3,10,90,337,745,742,752,835,824,57,52,83,NE,5,0,30.18,Mostly Cloudy,39,27
11,10,7,DL,DTW,8,16,319,2079,970,978,994,1109,1109,55,48,77,NW,10,0,29.99,Fair,25,39
12,12,4,B6,JFK,53,18,404,2586,930,983,1001,1154,1199,59,56,90,NNW,5,0,30.26,Cloudy,28,36
1,21,2,AS,MCO,13,13,369,2446,1145,1158,1171,1334,1339,56,51,84,SSE,7,0,30.16,Cloudy,23,16
1,10,5,UA,OGG,-1,9,297,2338,990,989,998,1407,1398,50,43,77,SSW,5,0,30.29,Mostly Cloudy,21,20
11,19,2,DL,MSP,-3,36,266,1589,1239,1236,1272,1385,1374,54,46,75,W,15,0,29.58,Partly Cloudy,26,24
